artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
Post Malone,Cologne,NA,Post Malone | Logen-Package,Rock,1,05,90.0,90.0,Z698xZC2Z17feA4,89,FAKE
Post Malone,Cologne,NA,Post Malone | Premium-Package,Rock,1,05,88.0,88.0,Z698xZC2Z17fvJo,89,FAKE
Post Malone,London,The O2,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,425.0,50.0,G5dfZ9P3v3Ywj,89,FAKE
Post Malone,London,The O2,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,1,05,425.0,50.0,G5dfZ9PRqiJRg,89,FAKE
Post Malone,London,The O2,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,1,05,425.0,50.0,G5dfZ9PRxJUgS,89,FAKE
Post Malone,Dublin,3Arena,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,119.5,59.5,G5vOZ9Pim46R5,89,FAKE
Post Malone,Dublin,3Arena,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,119.5,59.5,G5vOZ9Pim4ER0,89,FAKE
Post Malone,Glasgow,OVO Hydro,Post Malone: Twelve Carat Tour,Hip-Hop/Rap,1,05,274.0,0.0,G5dbZ90NKyVvt,89,FAKE
Post Malone,Birmingham,Resorts World Arena,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,1,05,420.0,50.0,G5djZ9P3xrV7z,89,FAKE
Post Malone,Manchester,AO Arena,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,272.0,0.0,G5vHZ90TYj9VZ,89,FAKE
Post Malone,Manchester,AO Arena,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,126.5,0.0,G5vHZ9J6tDx74,89,FAKE
Post Malone,København S,NA,Post Malone - Twelve Carat Tour,Rock,0,04,1197.0,495.0,Z698xZC4Z17fIjs,89,FAKE
Post Malone,Merksem (Antwerpen),Sportpaleis Antwerpen,Post Malone - Twelve Carat Tour,Rock,0,04,479.7,45.5,Z698xZG2ZauOM,89,FAKE
Post Malone,Cologne,NA,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,1,05,229.0,7.5,Z698xZC2Z17fZxa,89,FAKE
Post Malone,Amsterdam,Ziggo Dome,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,0,05,180.0,55.0,Z698xZbpZ17181a,89,FAKE
Post Malone,Amsterdam,Ziggo Dome,Post Malone - Twelve Carat Tour,Hip-Hop/Rap,1,05,180.0,55.0,Z698xZbpZ17181o,89,FAKE
Post Malone,Amsterdam,Ziggo Dome,Post Malone | Twelve Carat Early Entry VIP Package,Hip-Hop/Rap,0,05,255.0,255.0,Z698xZbpZ1718fs,89,FAKE
Drake,Dallas,American Airlines Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,06,501.5,144.5,vvG1YZ9JJpQoL3,97,FAKE
Drake,Inglewood,Kia Forum,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,08,499.5,144.5,vvG10Z9JOnGgFI,97,FAKE
Drake,Miami,Kaseya Center (formerly known as Miami-Dade Arena),Drake: It's All A Blur Tour,Hip-Hop/Rap,0,06,495.0,140.0,vvG1VZ9Jnr1lxO,97,FAKE
Drake,Atlanta,State Farm Arena,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,07,500.0,145.0,vvG1zZ9JlvbKJL,97,FAKE
Drake,Washington,Capital One Arena,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,07,490.5,144.5,G5vfZ9J15Yw6A,97,FAKE
Drake,San Francisco,Chase Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,08,499.5,144.5,G5vYZ9JNnIA8U,97,FAKE
Drake,Chicago,United Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,07,495.0,140.5,vvG18Z9JNzUS1l,97,FAKE
Drake,Glendale,Desert Diamond Arena,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,09,494.5,139.5,G5v0Z9JtXq-ZG,97,FAKE
Drake,Chicago,United Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,07,495.0,140.5,vvG18Z9J0mufLV,97,FAKE
Drake,Brooklyn,Barclays Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,07,499.5,144.5,G5dZZ9JNmeomQ,97,FAKE
Drake,Detroit,Little Caesars Arena,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,07,469.5,144.5,vvG1OZ9JNfdVzT,97,FAKE
Drake,New Orleans,Smoothie King Center,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,06,461.5,66.0,G5viZ9JE4_kjR,97,FAKE
Drake,New York,Madison Square Garden,Drake: It's All A Blur Tour,Hip-Hop/Rap,0,07,499.5,149.5,G5diZ9JnXmdSl,97,FAKE
Drake,Nashville,Bridgestone Arena,Drake: It's All A Blur Tour,Hip-Hop/Rap,1,06,465.0,138.0,G5viZ9JnC4ei5,97,FAKE
Imagine Dragons,Milwaukee,American Family Insurance Amphitheater - Summerfest Grounds,Imagine Dragons,Rock,1,07,231.38,87.63,vvG1jZ9pxhDoYZ,89,FAKE
Imagine Dragons,México,Foro Sol,Imagine Dragons Platino,Rock,0,05,2180.0,2180.0,G5v8Z999AZwgb,89,FAKE
Imagine Dragons,México,Foro Sol,Imagine Dragons Numerado,Rock,0,05,3980.0,500.0,G5v8Z9prGfo-0,89,FAKE
Imagine Dragons,Monterrey,Estadio Banorte,Imagine Dragons (Cancha),Rock,0,05,2340.0,1140.0,G5dVZ9Jn0wo3o,89,FAKE
Imagine Dragons,Monterrey,Estadio Banorte,Imagine Dragons (Gradas),Rock,0,05,2640.0,740.0,G5dVZ9JnIMsQu,89,FAKE
Imagine Dragons,Warsaw,PGE Narodowy,Imagine Dragons: Mercury World Tour,Rock,1,08,1528.0,139.0,Z698xZQpZak0a,89,FAKE
Imagine Dragons,México,Foro Sol,Imagine Dragons Pit A y B,Rock,0,05,4500.0,4500.0,G5v8Z99ddvPFW,89,FAKE
Imagine Dragons,México,Foro Sol,Imagine Dragons General B y Discap,Rock,0,05,980.0,980.0,G5v8Z9pr-ax0W,89,FAKE
Imagine Dragons,Warsaw,PGE Narodowy,Imagine Dragons: Mercury World Tour | VIP,Rock,1,08,2193.0,893.0,Z698xZQpZakJ6,89,FAKE
Imagine Dragons,México,Foro Sol,Estacionamiento Imagine Dragons,Fitness,0,05,200.0,200.0,G5v8Z9prKh-zb,89,FAKE
Imagine Dragons,Leeds,Bramham Park,Leeds Festival 2023 - Friday Day Ticket,Undefined,0,08,92.0,92.0,G5dfZ99NQ6JTW,89,FAKE
Imagine Dragons,Reading,Reading Festival,Reading Festival 2023 - Sunday Day Ticket,Undefined,1,08,92.0,92.0,G5djZ99xMvA4U,89,FAKE
Imagine Dragons,Leeds,Bramham Park,Leeds Festival 2023 - Weekend,Undefined,0,08,265.0,265.0,G5dfZ98Nduo-7,89,FAKE
Imagine Dragons,Reading,Reading Festival,Reading Festival 2023 - Weekend Tickets,Rock,0,08,265.0,265.0,G5djZ913mkNJD,89,FAKE
Imagine Dragons,Reading,Reading Festival,Reading Festival Weekend Ticket 2023 Payment Plan,Rock,0,08,109.6,109.6,G5djZ99NAZPET,89,FAKE
Imagine Dragons,México,Foro Sol,Ticket2ride Imagine Dragons Foro Sol,Undefined,0,05,200.0,200.0,G5v8Z9pR9TtCd,89,FAKE
Imagine Dragons,Milwaukee,American Family Insurance Amphitheater - Summerfest Grounds,Imagine Dragons-Amped Up Concert Upgrade,Undefined,1,07,100.0,100.0,vvG1jZ9JDI-drL,89,FAKE
